id,substring,weight,numero
1,a,9059.0,1
2,e,8133.0,1
3,i,6372.0,1
4,o,6230.0,1
5,r,5865.0,1
6,n,5383.0,1
7,s,5242.0,1
8,c,4398.0,1
9,t,4037.0,1
10,d,3190.0,1
11,l,2954.0,1
12,m,2265.0,1
13,u,2209.0,1
14,p,2025.0,1
15,en,1601.0,1
16,es,1580.0,1
17,er,1213.0,1
18,ci,1189.0,1
19,nt,1175.0,1
20,re,1168.0,1
21,ar,1122.0,1
22,b,1110.0,1
23,v,1076.0,1
24,g,1048.0,1
25,os,1039.0,1
26,ra,1021.0,1
27,te,996.0,1
28,co,945.0,1
29,an,943.0,1
30,ta,942.0,1
31,ad,924.0,1
32,on,917.0,1
33,do,892.0,1
34,ó,883.0,1
35,as,861.0,1
36,ca,791.0,1
37,al,775.0,1
38,f,761.0,1
39,in,731.0,1
40,or,703.0,1
41,de,698.0,1
42,ent,691.0,1
43,ic,672.0,1
44,ri,662.0,1
45,st,654.0,1
46,da,638.0,1
47,to,635.0,1
48,ro,628.0,1
49,le,625.0,1
50,ti,594.0,1
51,ac,584.0,1
52,ia,546.0,1
53,io,540.0,1
54,nte,539.0,1
55,na,529.0,1
56,id,524.0,1
57,ió,523.0,1
58,la,521.0,1
59,ie,511.0,1
60,ec,509.0,1
61,di,504.0,1
62,me,501.0,1
63,ón,490.0,1
64,ma,485.0,1
65,í,469.0,1
66,pr,459.0,1
67,li,452.0,1
68,ado,446.0,1
69,si,445.0,1
70,nd,443.0,1
71,tr,441.0,1
72,se,431.0,1
73,nc,430.0,1
74,ión,427.0,1
75,h,420.0,1
76,ne,416.0,1
77,is,402.0,1
78,mi,391.0,1
79,am,384.0,1
80,pe,381.0,1
81,j,372.0,1
82,sa,371.0,1
83,ce,370.0,1
84,pa,368.0,1
85,con,365.0,1
86,ció,360.0,1
87,z,350.0,1
88,aci,344.0,1
89,ción,344.0,1
90,ab,343.0,1
91,ue,340.0,1
92,el,333.0,1
93,no,332.0,1
94,ni,329.0,1
95,ente,323.0,1
96,cu,320.0,1
97,res,320.0,1
98,it,319.0,1
99,vi,317.0,1
100,om,314.0,1
101,á,308.0,1
102,mo,304.0,1
103,so,300.0,1
104,ica,300.0,1
105,men,293.0,1
106,ve,291.0,1
107,po,290.0,1
108,at,289.0,1
109,lo,286.0,1
110,ba,283.0,1
111,ol,278.0,1
112,ien,274.0,1
113,est,273.0,1
114,ir,270.0,1
115,rt,263.0,1
116,va,262.0,1
117,ns,260.0,1
118,cia,253.0,1
119,nci,252.0,1
120,il,250.0,1
121,em,248.0,1
122,mp,247.0,1
123,ll,247.0,1
124,ía,244.0,1
125,im,237.0,1
126,ga,232.0,1
127,ment,231.0,1
128,cio,228.0,1
129,ida,227.0,1
130,ur,224.0,1
131,nta,224.0,1
132,et,223.0,1
133,oc,221.0,1
134,ion,221.0,1
135,ació,221.0,1
136,ación,220.0,1
137,sta,219.0,1
138,fi,219.0,1
139,tu,218.0,1
140,iv,218.0,1
141,ed,216.0,1
142,tra,214.0,1
143,x,213.0,1
144,un,211.0,1
145,ct,210.0,1
146,eg,208.0,1
147,pre,206.0,1
148,era,205.0,1
149,one,203.0,1
150,nes,200.0,1
151,su,199.0,1
152,é,198.0,1
153,ant,194.0,1
154,enc,191.0,1
155,dad,189.0,1
156,q,187.0,1
157,rec,187.0,1
158,za,187.0,1
159,qu,186.0,1
160,nto,186.0,1
161,pro,186.0,1
162,rm,185.0,1
163,les,185.0,1
164,rr,184.0,1
165,ig,184.0,1
166,sc,182.0,1
167,ter,181.0,1
168,gu,178.0,1
169,sp,176.0,1
170,com,172.0,1
171,des,171.0,1
172,cion,171.0,1
173,end,171.0,1
174,ada,170.0,1
175,ido,169.0,1
176,ul,169.0,1
177,ui,168.0,1
178,per,166.0,1
179,ones,165.0,1
180,bl,165.0,1
181,ex,165.0,1
182,ici,163.0,1
183,ncia,163.0,1
184,ist,162.0,1
185,bi,157.0,1
186,ient,157.0,1
187,ari,156.0,1
188,ina,155.0,1
189,br,154.0,1
190,ale,153.0,1
191,ha,152.0,1
192,uc,152.0,1
193,pl,152.0,1
194,enci,152.0,1
195,vo,151.0,1
196,ten,151.0,1
197,us,150.0,1
198,dos,149.0,1
199,ione,149.0,1
200,ua,147.0,1
201,gr,147.0,1
202,mente,147.0,1
203,iones,146.0,1
204,tos,144.0,1
205,cr,144.0,1
206,tar,143.0,1
207,ento,141.0,1
208,par,140.0,1
209,pi,140.0,1
210,ndo,139.0,1
211,tes,139.0,1
212,ch,139.0,1
213,ap,138.0,1
214,rio,137.0,1
215,y,136.0,1
216,ame,136.0,1
217,ev,135.0,1
218,ier,134.0,1
219,idad,133.0,1
220,ico,133.0,1
221,fe,132.0,1
222,enta,130.0,1
223,gi,130.0,1
224,aba,129.0,1
225,ero,128.0,1
226,ali,128.0,1
227,sti,127.0,1
228,ob,124.0,1
229,go,124.0,1
230,tic,122.0,1
231,rad,122.0,1
232,pu,121.0,1
233,ge,121.0,1
234,str,121.0,1
235,ran,119.0,1
236,eci,119.0,1
237,amen,119.0,1
238,ñ,118.0,1
239,be,118.0,1
240,ea,118.0,1
241,ja,118.0,1
242,and,117.0,1
243,esp,117.0,1
244,rc,117.0,1
245,od,116.0,1
246,ep,116.0,1
247,ot,115.0,1
248,rs,115.0,1
249,int,115.0,1
250,ont,114.0,1
251,lu,114.0,1
252,ib,114.0,1
253,encia,114.0,1
254,ren,113.0,1
255,rd,113.0,1
256,ament,113.0,1
257,du,112.0,1
258,ales,111.0,1
259,ante,110.0,1
260,cione,109.0,1
261,ciones,109.0,1
262,car,108.0,1
263,ita,108.0,1
264,esc,107.0,1
265,esta,106.0,1
266,man,106.0,1
267,tiv,106.0,1
268,ria,105.0,1
269,ona,103.0,1
270,ej,103.0,1
271,ru,103.0,1
272,tor,103.0,1
273,rí,103.0,1
274,ura,102.0,1
275,lla,102.0,1
276,eri,102.0,1
277,ons,102.0,1
278,ag,101.0,1
279,ara,100.0,1
280,ntes,100.0,1
281,den,100.0,1
282,ron,100.0,1
283,fic,100.0,1
