id,word,weight
1,de,65545.55
2,la,41148.59
3,que,30688.85
4,el,29953.48
5,en,27755.16
6,y,27401.19
7,a,21375.03
8,los,17164.95
9,se,13257.31
10,del,12173.87
11,las,11056.37
12,un,10879.95
13,por,10238.07
14,con,9711.74
15,no,9606.18
16,una,8833.36
17,su,7234.06
18,para,6962.26
19,es,6683.79
20,al,6234.03
21,lo,5682.77
22,como,5069.96
23,más,4337.33
24,o,3554.6
25,pero,2953.04
26,sus,2948.84
27,le,2708.74
28,ha,2493.07
29,me,2453.93
30,si,2146.58
31,sin,1955.86
32,sobre,1898.97
33,este,1871.16
34,ya,1797.19
35,entre,1753.38
36,cuando,1686.38
37,todo,1621.28
38,esta,1565.57
39,ser,1526.78
40,son,1523.45
41,dos,1497.38
42,también,1490.64
43,fue,1466.92
44,había,1464.55
45,era,1441.63
46,muy,1366.95
47,años,1330.81
48,hasta,1330.21
49,desde,1302.1
50,está,1272.74
51,mi,1221.56
52,porque,1217.23
53,qué,1212.36
54,sólo,1117.94
55,han,1112.47
56,yo,1099.14
57,hay,1081.16
58,vez,1071.97
59,puede,1056.76
60,todos,1036.77
61,así,1020.23
62,nos,1012.15
63,ni,1005.85
64,parte,975.03
65,tiene,965.36
66,él,911.65
67,uno,891.59
68,donde,865.74
69,bien,858.4
70,tiempo,858.0
71,mismo,857.02
72,ese,838.86
73,ahora,823.69
74,cada,816.46
75,e,811.02
76,vida,809.46
77,otro,799.58
78,después,798.02
79,te,786.92
80,otros,783.3
81,aunque,757.45
82,esa,756.28
83,eso,750.68
84,hace,750.57
85,otra,747.13
86,gobierno,740.77
87,tan,737.23
88,durante,734.27
89,siempre,731.24
90,día,727.07
91,tanto,725.48
92,ella,725.09
93,tres,718.03
94,sí,712.06
95,dijo,711.01
96,sido,703.67
97,gran,701.31
98,país,685.42
99,según,683.04
100,menos,678.41
101,mundo,666.92
102,año,660.66
103,antes,660.47
104,estado,660.44
105,contra,658.12
106,sino,643.32
107,forma,636.9
108,caso,635.68
109,nada,631.49
110,hacer,629.68
111,general,627.74
112,estaba,613.58
113,poco,604.39
114,estos,599.1
115,presidente,598.78
116,mayor,591.02
117,ante,576.76
118,unos,568.61
119,les,566.09
120,algo,563.71
121,hacia,557.96
122,casa,557.58
123,ellos,554.77
124,ayer,552.64
125,hecho,549.94
126,primera,546.85
127,mucho,545.62
128,mientras,541.62
129,además,541.27
130,quien,541.13
131,momento,538.36
132,millones,537.49
133,esto,537.36
134,españa,525.66
135,hombre,525.38
136,están,523.36
137,pues,522.04
138,hoy,514.41
139,lugar,512.91
140,madrid,510.21
141,nacional,508.27
142,trabajo,507.85
143,otras,507.53
144,mejor,506.78
145,nuevo,506.44
146,decir,503.85
147,algunos,498.87
148,entonces,496.24
149,todas,495.0
150,días,492.55
151,debe,486.56
152,política,481.54
153,cómo,479.16
154,casi,478.27
155,toda,473.57
156,tal,468.14
157,luego,462.26
158,pasado,462.01
159,primer,458.3
160,medio,454.07
161,va,452.92
162,estas,452.75
163,sea,451.76
164,tenía,439.78
165,nunca,438.77
166,poder,438.52
167,aquí,438.0
168,ver,435.76
169,veces,435.51
170,embargo,433.38
171,partido,429.29
172,personas,428.75
173,grupo,428.62
174,cuenta,428.47
175,pueden,418.78
176,tienen,417.23
177,misma,415.98
178,nueva,415.75
179,cual,408.42
180,fueron,407.84
181,mujer,405.98
182,frente,402.92
183,josé,400.37
184,tras,393.71
185,cosas,390.53
186,fin,387.44
187,ciudad,387.05
188,he,386.5
189,social,383.35
190,manera,381.06
191,tener,380.37
192,sistema,378.93
193,será,378.92
194,historia,378.81
195,muchos,377.05
196,juan,374.96
197,tipo,371.04
198,cuatro,370.8
199,dentro,370.77
200,nuestro,369.08
201,punto,368.77
202,dice,368.73
203,ello,365.55
204,cualquier,362.88
205,noche,362.35
206,aún,358.95
207,agua,358.56
208,parece,357.59
209,haber,354.94
210,situación,354.09
211,fuera,353.82
212,bajo,349.0
213,grandes,343.22
214,nuestra,342.95
215,ejemplo,339.56
216,acuerdo,337.47
217,habían,330.34
218,usted,328.22
219,estados,326.52
220,hizo,325.99
221,nadie,325.7
222,países,324.1
223,horas,323.73
224,posible,321.72
225,tarde,320.94
226,ley,320.82
227,importante,317.23
228,guerra,317.19
229,desarrollo,317.11
230,proceso,315.05
231,realidad,312.33
232,sentido,311.74
233,lado,310.14
234,mí,309.7
235,tu,308.45
236,cambio,306.85
237,allí,306.57
238,mano,305.83
239,eran,303.92
240,estar,303.37
241,san,301.55
242,número,301.42
243,sociedad,301.35
244,unas,298.67
245,centro,297.95
246,padre,296.51
247,gente,296.5
248,final,294.44
249,relación,292.45
250,cuerpo,291.49
251,obra,290.43
252,incluso,290.28
253,través,289.8
254,último,288.97
255,madre,286.42
256,mis,285.55
257,modo,284.99
258,problemas,283.79
259,cinco,283.71
260,carlos,280.77
261,hombres,278.87
262,información,278.07
263,ojos,277.73
264,muerte,277.53
265,nombre,277.16
266,algunas,276.76
267,público,276.62
268,mujeres,275.92
269,siglo,274.58
270,todavía,273.94
271,meses,273.01
272,mañana,271.16
273,esos,269.95
274,nosotros,267.89
275,hora,266.0
276,muchas,265.9
277,pueblo,264.98
278,alguna,264.85
279,dar,264.79
280,problema,264.12
281,don,263.66
282,da,263.44
283,tú,262.97
284,derecho,261.79
285,verdad,261.69
286,maría,260.96
287,unidos,260.92
288,podría,260.86
289,sería,260.43
290,junto,259.05
291,cabeza,258.59
292,aquel,258.11
293,luis,258.06
294,cuanto,252.48
295,tierra,251.39
296,equipo,250.48
297,segundo,250.13
298,director,249.71
299,dicho,249.57
300,cierto,248.94
301,casos,247.74
302,manos,247.35
303,nivel,245.27
304,podía,245.17
305,familia,244.99
306,largo,244.59
307,partir,244.35
308,falta,243.81
309,llegar,242.88
310,propio,242.39
311,ministro,238.18
312,cosa,237.72
313,primero,237.49
314,seguridad,236.32
315,hemos,235.89
316,mal,235.73
317,trata,234.29
318,algún,233.11
319,tuvo,232.63
320,respecto,232.0
321,semana,231.74
322,varios,231.48
323,real,230.87
324,sé,230.42
325,voz,229.3
326,paso,228.9
327,señor,228.79
328,mil,228.33
329,quienes,227.73
330,proyecto,227.55
331,mercado,227.3
332,mayoría,227.02
333,luz,226.9
334,claro,226.72
335,iba,225.35
336,éste,225.08
337,pesetas,224.2
338,orden,222.74
339,español,222.34
340,buena,221.28
341,quiere,221.12
342,aquella,221.04
343,programa,220.37
344,palabras,219.48
345,internacional,219.24
346,van,218.91
347,esas,218.81
348,segunda,218.69
349,empresa,218.28
350,puesto,217.97
351,ahí,217.93
352,propia,217.28
353,m,216.95
354,libro,216.67
355,igual,215.98
356,político,215.83
357,persona,214.71
358,últimos,214.27
359,ellas,213.91
360,total,213.28
361,creo,213.05
362,tengo,212.46
363,dios,212.2
364,c,212.01
365,española,210.67
366,condiciones,210.37
367,méxico,210.3
368,fuerza,210.29
369,solo,209.82
370,único,209.74
371,acción,208.37
372,amor,207.72
373,policía,207.12
374,puerta,206.49
375,pesar,206.05
376,zona,205.59
377,sabe,205.54
378,calle,205.36
379,interior,204.49
380,tampoco,203.29
381,música,202.99
382,ningún,202.95
383,vista,202.88
384,campo,201.72
385,buen,201.6
386,hubiera,201.58
387,saber,200.86
388,obras,200.41
389,razón,200.17
390,ex,200.06
